"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","21286","TC025: Verify work package PDF download","webkit","Mon Nov 03 23:59:03 BOT 2025","passed","Mon Nov 03 23:59:24 BOT 2025","","work_packages\TC025.spec.ts","",""
"","10551","TC022: Verify failed work package creation with empty values","webkit","Mon Nov 03 23:58:59 BOT 2025","failed","Mon Nov 03 23:59:10 BOT 2025","","work_packages\TC022.spec.ts","",""
"","10742","TC009: Verify that a notification can be downloaded as a PDF","chromium","Mon Nov 03 23:56:54 BOT 2025","passed","Mon Nov 03 23:57:04 BOT 2025","","notifications\TC009.spec.ts","",""
"","11345","TC014 Verify error messages are displayed when recurring empty fields are submitted","chromium","Mon Nov 03 23:56:41 BOT 2025","passed","Mon Nov 03 23:56:53 BOT 2025","","meetings\TC014.spec.ts","",""
"","11522","TC010: Verify a comment can be posted in the activity of the notification","firefox","Mon Nov 03 23:57:45 BOT 2025","passed","Mon Nov 03 23:57:57 BOT 2025","","notifications\TC010.spec.ts","",""
"","13219","TC021: Verify work package creation with valid values from PACKAGE table","chromium","Mon Nov 03 23:57:11 BOT 2025","passed","Mon Nov 03 23:57:24 BOT 2025","","work_packages\TC021.spec.ts","",""
"","7741","TC019: Verify searching a non-existent project returns no matches","chromium","Mon Nov 03 23:57:05 BOT 2025","failed","Mon Nov 03 23:57:12 BOT 2025","","projects\TC019.spec.ts","",""
"","26065","TC002: Verify work package creation as Task with valid values","webkit","Mon Nov 03 23:58:56 BOT 2025","passed","Mon Nov 03 23:59:22 BOT 2025","","work_packages\TC002.spec.ts","",""
"","17168","TC006 Verify one-time meeting creation and deletion","webkit","Mon Nov 03 23:58:10 BOT 2025","failed","Mon Nov 03 23:58:27 BOT 2025","","meetings\TC006.spec.ts","",""
"","15705","TC005: Verify that project phase in a notification can be updated successfully","firefox","Mon Nov 03 23:57:43 BOT 2025","passed","Mon Nov 03 23:57:59 BOT 2025","Project Phase Notifications Tests","notifications\TC005.spec.ts","",""
"","5064","TC002: Verify work package creation as Task with valid values","chromium","Mon Nov 03 23:57:07 BOT 2025","failed","Mon Nov 03 23:57:12 BOT 2025","","work_packages\TC002.spec.ts","",""
"","8296","TC026: Verify creating a new project","firefox","Mon Nov 03 23:58:02 BOT 2025","failed","Mon Nov 03 23:58:11 BOT 2025","Projects - Create","projects\TC026.spec.ts","",""
"","8452","TC026: Verify creating a new project","webkit","Mon Nov 03 23:58:52 BOT 2025","failed","Mon Nov 03 23:59:00 BOT 2025","Projects - Create","projects\TC026.spec.ts","",""
"","6019","TC016: Verify that clicking on a project navigates to the project page","chromium","Mon Nov 03 23:56:59 BOT 2025","passed","Mon Nov 03 23:57:05 BOT 2025","","projects\TC016.spec.ts","",""
"","10972","TC013 Verify error messages are displayed when one-time empty fields are submitted","chromium","Mon Nov 03 23:56:41 BOT 2025","passed","Mon Nov 03 23:56:52 BOT 2025","","meetings\TC013.spec.ts","",""
"","11549","TC016: Verify that clicking on a project navigates to the project page","firefox","Mon Nov 03 23:57:54 BOT 2025","passed","Mon Nov 03 23:58:06 BOT 2025","","projects\TC016.spec.ts","",""
"","17651","TC025: Verify work package PDF download","chromium","Mon Nov 03 23:57:13 BOT 2025","passed","Mon Nov 03 23:57:31 BOT 2025","","work_packages\TC025.spec.ts","",""
